Vertices,Alpha(g),Number Of Roots,Number Of Max Points,Number Of Min Points,Polynomial,Degree Array,Max Deg
10,16,2,1,2,1 + 20*X + 169X^2 + 829X^3 + 2709X^4 + 6375X^5 + 11336X^6 + 15680X^7 + 17125X^8 + 14828X^9 + 10131X^10 + 5392X^11 + 2186X^12 + 651X^13 + 134X^14 + 17X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4 6 7 ],7
10,18,2,1,2,1 + 20*X + 171X^2 + 912X^3 + 3426X^4 + 9569X^5 + 20566X^6 + 34827X^7 + 47190X^8 + 51623X^9 + 45760X^10 + 32825X^11 + 18928X^12 + 8659X^13 + 3074X^14 + 817X^15 + 153X^16 + 18X^17 + X^18,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 15 ],15
10,16,1,1,2,1 + 20*X + 171X^2 + 849X^3 + 2809X^4 + 6704X^5 + 12020X^6 + 16553X^7 + 17746X^8 + 14918X^9 + 9842X^10 + 5063X^11 + 1999X^12 + 588X^13 + 122X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 3 4 9 ],9
10,16,4,1,3,1 + 20*X + 169X^2 + 830X^3 + 2733X^4 + 6515X^5 + 11734X^6 + 16349X^7 + 17846X^8 + 15343X^9 + 10375X^10 + 5466X^11 + 2199X^12 + 652X^13 + 134X^14 + 17X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4 4 9 ],9
10,14,3,3,4,1 + 20*X + 168X^2 + 796X^3 + 2412X^4 + 5038X^5 + 7629X^6 + 8648X^7 + 7452X^8 + 4881X^9 + 2393X^10 + 849X^11 + 205X^12 + 30X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 4 5 5 ],5
10,16,4,2,3,1 + 20*X + 168X^2 + 830X^3 + 2791X^4 + 6814X^5 + 12511X^6 + 17666X^7 + 19440X^8 + 16759X^9 + 11293X^10 + 5888X^11 + 2329X^12 + 676X^13 + 136X^14 + 17X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 5 9 ],9
10,16,3,1,3,1 + 20*X + 168X^2 + 823X^3 + 2711X^4 + 6496X^5 + 11829X^6 + 16725X^7 + 18515X^8 + 16068X^9 + 10891X^10 + 5710X^11 + 2273X^12 + 665X^13 + 135X^14 + 17X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 7 7 ],7
10,16,1,1,2,1 + 20*X + 170X^2 + 832X^3 + 2698X^4 + 6296X^5 + 11132X^6 + 15377X^7 + 16838X^8 + 14649X^9 + 10058X^10 + 5374X^11 + 2184X^12 + 651X^13 + 134X^14 + 17X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 5 6 6 ],6
10,15,3,2,2,1 + 20*X + 170X^2 + 829X^3 + 2636X^4 + 5876X^5 + 9595X^6 + 11777X^7 + 11009X^8 + 7867X^9 + 4280X^10 + 1751X^11 + 526X^12 + 111X^13 + 15X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 3 7 ],7
10,11,6,3,3,1 + 20*X + 168X^2 + 782X^3 + 2242X^4 + 4166X^5 + 5149X^6 + 4283X^7 + 2394X^8 + 874X^9 + 189X^10 + 18X^11,[ 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 4 4 ],4
10,17,4,2,2,1 + 20*X + 170X^2 + 861X^3 + 2993X^4 + 7671X^5 + 15063X^6 + 23167X^7 + 28282X^8 + 27598X^9 + 21550X^10 + 13398X^11 + 6554X^12 + 2471X^13 + 694X^14 + 137X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 6 10 ],10
10,15,5,3,3,1 + 20*X + 168X^2 + 800X^3 + 2483X^4 + 5473X^5 + 9022X^6 + 11450X^7 + 11345X^8 + 8802X^9 + 5310X^10 + 2446X^11 + 832X^12 + 197X^13 + 29X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 4 5 6 ],6
10,16,4,2,3,1 + 20*X + 171X^2 + 854X^3 + 2880X^4 + 7039X^5 + 12906X^6 + 18121X^7 + 19748X^8 + 16823X^9 + 11208X^10 + 5797X^11 + 2287X^12 + 666X^13 + 135X^14 + 17X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 4 10 ],10
10,14,1,2,3,1 + 20*X + 171X^2 + 833X^3 + 2631X^4 + 5802X^5 + 9320X^6 + 11133X^7 + 9957X^8 + 6654X^9 + 3287X^10 + 1171X^11 + 286X^12 + 43X^13 + 3X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 4 7 ],7
10,12,2,1,2,1 + 20*X + 168X^2 + 787X^3 + 2295X^4 + 4399X^5 + 5699X^6 + 5069X^7 + 3092X^8 + 1273X^9 + 340X^10 + 54X^11 + 4X^12,[ 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 ],3
10,17,2,1,1,1 + 20*X + 171X^2 + 870X^3 + 3042X^4 + 7830X^5 + 15391X^6 + 23629X^7 + 28744X^8 + 27928X^9 + 21715X^10 + 13453X^11 + 6565X^12 + 2472X^13 + 694X^14 + 137X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 5 11 ],11
10,16,1,1,2,1 + 20*X + 170X^2 + 834X^3 + 2737X^4 + 6547X^5 + 11996X^6 + 17286X^7 + 19813X^8 + 18089X^9 + 13074X^10 + 7382X^11 + 3186X^12 + 1015X^13 + 225X^14 + 31X^15 + 2X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 5 6 7 ],7
10,16,3,2,3,1 + 20*X + 170X^2 + 838X^3 + 2771X^4 + 6686X^5 + 12311X^6 + 17727X^7 + 20218X^8 + 18335X^9 + 13169X^10 + 7403X^11 + 3188X^12 + 1015X^13 + 225X^14 + 31X^15 + 2X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 5 5 8 ],8
10,14,2,1,11,1 + 20*X + 167X^2 + 789X^3 + 2395X^4 + 5010X^5 + 7544X^6 + 8410X^7 + 7058X^8 + 4486X^9 + 2145X^10 + 753X^11 + 184X^12 + 28X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 4 4 5 ],5
10,15,4,4,4,1 + 20*X + 170X^2 + 823X^3 + 2593X^4 + 5753X^5 + 9449X^6 + 11842X^7 + 11495X^8 + 8658X^9 + 5006X^10 + 2170X^11 + 678X^12 + 143X^13 + 18X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 4 5 6 ],6
10,15,3,3,3,1 + 20*X + 171X^2 + 837X^3 + 2668X^4 + 5978X^5 + 9877X^6 + 12368X^7 + 11883X^8 + 8772X^9 + 4937X^10 + 2081X^11 + 636X^12 + 133X^13 + 17X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 5 7 ],7
10,14,3,1,3,1 + 20*X + 169X^2 + 804X^3 + 2437X^4 + 5076X^5 + 7640X^6 + 8579X^7 + 7304X^8 + 4722X^9 + 2288X^10 + 806X^11 + 195X^12 + 29X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 5 5 ],5
10,16,3,2,3,1 + 20*X + 170X^2 + 848X^3 + 2870X^4 + 7115X^5 + 13452X^6 + 19808X^7 + 22945X^8 + 20959X^9 + 15034X^10 + 8374X^11 + 3549X^12 + 1106X^13 + 239X^14 + 32X^15 + 2X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 6 9 ],9
10,15,3,2,1,1 + 20*X + 170X^2 + 831X^3 + 2658X^4 + 5980X^5 + 9891X^6 + 12345X^7 + 11771X^8 + 8587X^9 + 4757X^10 + 1969X^11 + 592X^12 + 123X^13 + 16X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 4 7 ],7
10,16,2,1,2,1 + 20*X + 168X^2 + 812X^3 + 2604X^4 + 6014X^5 + 10506X^6 + 14283X^7 + 15339X^8 + 13082X^9 + 8836X^10 + 4676X^11 + 1900X^12 + 573X^13 + 121X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 4 6 6 ],6
10,10,3,1,4,1 + 20*X + 167X^2 + 779X^3 + 2272X^4 + 4369X^5 + 5657X^6 + 4904X^7 + 2737X^8 + 890X^9 + 128X^10,[ 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 6 ],6
10,14,2,1,2,1 + 20*X + 169X^2 + 801X^3 + 2403X^4 + 4909X^5 + 7184X^6 + 7818X^7 + 6463X^8 + 4088X^9 + 1962X^10 + 696X^11 + 173X^12 + 27X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 4 4 4 ],4
10,15,3,3,3,1 + 20*X + 171X^2 + 832X^3 + 2613X^4 + 5723X^5 + 9204X^6 + 11217X^7 + 10529X^8 + 7647X^9 + 4272X^10 + 1805X^11 + 559X^12 + 120X^13 + 16X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 5 6 ],6
10,15,3,2,2,1 + 20*X + 170X^2 + 827X^3 + 2635X^4 + 5965X^5 + 10059X^6 + 12957X^7 + 12890X^8 + 9919X^9 + 5867X^10 + 2628X^11 + 867X^12 + 200X^13 + 29X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 5 7 ],7
10,14,2,1,2,1 + 20*X + 170X^2 + 815X^3 + 2479X^4 + 5129X^5 + 7579X^6 + 8302X^7 + 6871X^8 + 4323X^9 + 2051X^10 + 716X^11 + 175X^12 + 27X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 3 4 5 ],5
10,13,4,2,2,1 + 20*X + 164X^2 + 761X^3 + 2300X^4 + 4867X^5 + 7472X^6 + 8424X^7 + 6942X^8 + 4102X^9 + 1675X^10 + 442X^11 + 66X^12 + 4X^13,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 5 6 ],6
10,14,1,2,3,1 + 20*X + 168X^2 + 792X^3 + 2370X^4 + 4848X^5 + 7151X^6 + 7903X^7 + 6690X^8 + 4355X^9 + 2148X^10 + 775X^11 + 192X^12 + 29X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 4 4 4 4 ],4
10,15,3,2,2,1 + 20*X + 167X^2 + 798X^3 + 2519X^4 + 5708X^5 + 9726X^6 + 12760X^7 + 13013X^8 + 10309X^9 + 6281X^10 + 2884X^11 + 964X^12 + 221X^13 + 31X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 4 5 7 ],7
10,18,2,0,1,1 + 20*X + 171X^2 + 922X^3 + 3515X^4 + 9933X^5 + 21567X^6 + 36829X^7 + 50193X^8 + 55055X^9 + 48763X^10 + 34827X^11 + 19929X^12 + 9023X^13 + 3165X^14 + 831X^15 + 154X^16 + 18X^17 + X^18,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 16 ],16
10,16,2,0,1,1 + 20*X + 164X^2 + 793X^3 + 2613X^4 + 6321X^5 + 11711X^6 + 17019X^7 + 19623X^8 + 17988X^9 + 13036X^10 + 7373X^11 + 3185X^12 + 1015X^13 + 225X^14 + 31X^15 + 2X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 6 6 6 ],6
10,15,1,1,1,1 + 20*X + 170X^2 + 827X^3 + 2636X^4 + 5933X^5 + 9856X^6 + 12309X^7 + 11683X^8 + 8462X^9 + 4661X^10 + 1927X^11 + 582X^12 + 122X^13 + 16X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 3 8 ],8
10,12,3,0,2,1 + 20*X + 167X^2 + 786X^3 + 2340X^4 + 4657X^5 + 6362X^6 + 6015X^7 + 3910X^8 + 1710X^9 + 482X^10 + 80X^11 + 6X^12,[ 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 6 ],6
10,15,2,1,1,1 + 20*X + 169X^2 + 827X^3 + 2688X^4 + 6249X^5 + 10829X^6 + 14265X^7 + 14434X^8 + 11248X^9 + 6711X^10 + 3015X^11 + 988X^12 + 223X^13 + 31X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 4 9 ],9
10,15,2,1,1,1 + 20*X + 170X^2 + 822X^3 + 2552X^4 + 5477X^5 + 8580X^6 + 10186X^7 + 9350X^8 + 6683X^9 + 3704X^10 + 1567X^11 + 491X^12 + 108X^13 + 15X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 5 5 ],5
10,15,1,1,1,1 + 20*X + 170X^2 + 821X^3 + 2570X^4 + 5646X^5 + 9235X^6 + 11584X^7 + 11344X^8 + 8722X^9 + 5236X^10 + 2411X^11 + 823X^12 + 196X^13 + 29X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4 4 5 5 ],5
10,14,2,1,2,1 + 20*X + 169X^2 + 802X^3 + 2402X^4 + 4845X^5 + 6863X^6 + 7054X^7 + 5373X^8 + 3074X^9 + 1324X^10 + 423X^11 + 96X^12 + 14X^13 + X^14,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 ],4
10,15,5,3,3,1 + 20*X + 169X^2 + 815X^3 + 2579X^4 + 5824X^5 + 9869X^6 + 12879X^7 + 13078X^8 + 10330X^9 + 6284X^10 + 2884X^11 + 964X^12 + 221X^13 + 31X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 4 6 6 ],6
10,17,8,1,2,1 + 20*X + 171X^2 + 881X^3 + 3130X^4 + 8193X^5 + 16392X^6 + 25631X^7 + 31747X^8 + 31360X^9 + 24718X^10 + 15455X^11 + 7566X^12 + 2836X^13 + 785X^14 + 151X^15 + 18X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 5 12 ],12
10,14,3,1,4,1 + 20*X + 168X^2 + 813X^3 + 2584X^4 + 5766X^5 + 9350X^6 + 11195X^7 + 9938X^8 + 6508X^9 + 3098X^10 + 1042X^11 + 235X^12 + 32X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 9 ],9
10,15,1,1,1,1 + 20*X + 170X^2 + 818X^3 + 2537X^4 + 5491X^5 + 8772X^6 + 10664X^7 + 10034X^8 + 7342X^9 + 4149X^10 + 1776X^11 + 556X^12 + 120X^13 + 16X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 5 5 5 ],5
10,13,3,3,3,1 + 20*X + 168X^2 + 798X^3 + 2429X^4 + 5085X^5 + 7624X^6 + 8329X^7 + 6625X^8 + 3780X^9 + 1501X^10 + 392X^11 + 60X^12 + 4X^13,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 4 7 ],7
10,11,5,3,3,1 + 20*X + 168X^2 + 783X^3 + 2243X^4 + 4126X^5 + 4937X^6 + 3798X^7 + 1802X^8 + 481X^9 + 59X^10 + 2X^11,[ 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 ],5
10,14,3,1,3,1 + 20*X + 168X^2 + 801X^3 + 2472X^4 + 5316X^5 + 8322X^6 + 9710X^7 + 8515X^8 + 5590X^9 + 2705X^10 + 936X^11 + 219X^12 + 31X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 5 6 ],6
10,14,3,3,4,1 + 20*X + 170X^2 + 817X^3 + 2508X^4 + 5290X^5 + 8034X^6 + 9032X^7 + 7615X^8 + 4824X^9 + 2277X^10 + 783X^11 + 187X^12 + 28X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 3 3 6 ],6
10,15,2,1,1,1 + 20*X + 168X^2 + 813X^3 + 2606X^4 + 5987X^5 + 10321X^6 + 13633X^7 + 13915X^8 + 10965X^9 + 6611X^10 + 2994X^11 + 986X^12 + 223X^13 + 31X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 6 7 ],7
10,15,1,1,1,1 + 20*X + 171X^2 + 837X^3 + 2675X^4 + 6036X^5 + 10095X^6 + 12747X^7 + 12257X^8 + 8986X^9 + 4998X^10 + 2081X^11 + 631X^12 + 132X^13 + 17X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 4 8 ],8
10,13,3,2,2,1 + 20*X + 168X^2 + 784X^3 + 2267X^4 + 4306X^5 + 5591X^6 + 5125X^7 + 3407X^8 + 1670X^9 + 601X^10 + 153X^11 + 25X^12 + 2X^13,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 ],3
10,16,2,0,2,1 + 20*X + 169X^2 + 838X^3 + 2802X^4 + 6813X^5 + 12591X^6 + 18143X^7 + 20654X^8 + 18657X^9 + 13333X^10 + 7458X^11 + 3199X^12 + 1016X^13 + 225X^14 + 31X^15 + 2X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 4 5 9 ],9
10,17,3,1,1,1 + 20*X + 171X^2 + 883X^3 + 3179X^4 + 8411X^5 + 16875X^6 + 26246X^7 + 32098X^8 + 31108X^9 + 23947X^10 + 14598X^11 + 6982X^12 + 2574X^13 + 709X^14 + 138X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 3 13 ],13
10,15,4,2,2,1 + 20*X + 165X^2 + 794X^3 + 2576X^4 + 6022X^5 + 10489X^6 + 13860X^7 + 14006X^8 + 10812X^9 + 6307X^10 + 2718X^11 + 832X^12 + 169X^13 + 20X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 6 7 ],7
10,16,4,2,3,1 + 20*X + 170X^2 + 850X^3 + 2891X^4 + 7163X^5 + 13363X^6 + 19148X^7 + 21338X^8 + 18587X^9 + 12624X^10 + 6613X^11 + 2616X^12 + 754X^13 + 149X^14 + 18X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 4 11 ],11
10,15,2,1,1,1 + 20*X + 169X^2 + 823X^3 + 2646X^4 + 6061X^5 + 10350X^6 + 13466X^7 + 13497X^8 + 10450X^9 + 6215X^10 + 2795X^11 + 922X^12 + 211X^13 + 30X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 4 8 ],8
10,11,2,2,2,1 + 20*X + 169X^2 + 791X^3 + 2263X^4 + 4120X^5 + 4821X^6 + 3567X^7 + 1585X^8 + 378X^9 + 39X^10 + 2X^11,[ 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 ],4
10,16,2,1,2,1 + 20*X + 169X^2 + 830X^3 + 2753X^4 + 6719X^5 + 12545X^6 + 18306X^7 + 21074X^8 + 19173X^9 + 13729X^10 + 7657X^11 + 3263X^12 + 1028X^13 + 226X^14 + 31X^15 + 2X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 7 8 ],8
10,16,2,1,2,1 + 20*X + 170X^2 + 850X^3 + 2880X^4 + 7133X^5 + 13467X^6 + 19814X^7 + 22946X^8 + 20959X^9 + 15034X^10 + 8374X^11 + 3549X^12 + 1106X^13 + 239X^14 + 32X^15 + 2X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 7 9 ],9
10,13,4,2,3,1 + 20*X + 171X^2 + 830X^3 + 2573X^4 + 5435X^5 + 8121X^6 + 8746X^7 + 6807X^8 + 3773X^9 + 1434X^10 + 346X^11 + 45X^12 + 2X^13,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 5 5 ],5
10,15,4,3,3,1 + 20*X + 171X^2 + 841X^3 + 2722X^4 + 6269X^5 + 10729X^6 + 13952X^7 + 13905X^8 + 10599X^9 + 6106X^10 + 2599X^11 + 787X^12 + 159X^13 + 19X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 5 8 ],8
10,16,4,2,3,1 + 20*X + 170X^2 + 844X^3 + 2829X^4 + 6914X^5 + 12829X^6 + 18448X^7 + 20744X^8 + 18258X^9 + 12509X^10 + 6590X^11 + 2614X^12 + 754X^13 + 149X^14 + 18X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 7 8 ],8
10,18,4,1,2,1 + 20*X + 171X^2 + 936X^3 + 3620X^4 + 10388X^5 + 22932X^6 + 39832X^7 + 55198X^8 + 61490X^9 + 55198X^10 + 39832X^11 + 22932X^12 + 10388X^13 + 3620X^14 + 936X^15 + 169X^16 + 19X^17 + X^18,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 17 ],17
10,14,1,1,2,1 + 20*X + 169X^2 + 818X^3 + 2594X^4 + 5827X^5 + 9714X^6 + 12322X^7 + 12002X^8 + 8944X^9 + 5018X^10 + 2053X^11 + 578X^12 + 100X^13 + 8X^14,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 5 5 6 ],6
10,13,4,1,2,1 + 20*X + 167X^2 + 785X^3 + 2348X^4 + 4767X^5 + 6809X^6 + 6952X^7 + 5069X^8 + 2602X^9 + 917X^10 + 213X^11 + 30X^12 + 2X^13,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 7 ],7
10,15,3,2,1,1 + 20*X + 170X^2 + 833X^3 + 2688X^4 + 6164X^5 + 10530X^6 + 13774X^7 + 13963X^8 + 10967X^9 + 6607X^10 + 2993X^11 + 986X^12 + 223X^13 + 31X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 5 8 ],8
10,16,2,1,14,1 + 20*X + 170X^2 + 851X^3 + 2887X^4 + 7096X^5 + 13077X^6 + 18425X^7 + 20076X^8 + 17005X^9 + 11188X^10 + 5676X^11 + 2187X^12 + 623X^13 + 125X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 3 3 10 ],10
10,16,4,2,3,1 + 20*X + 171X^2 + 859X^3 + 2913X^4 + 7166X^5 + 13292X^6 + 19000X^7 + 21179X^8 + 18482X^9 + 12581X^10 + 6603X^11 + 2615X^12 + 754X^13 + 149X^14 + 18X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 5 10 ],10
10,17,3,1,1,1 + 20*X + 169X^2 + 866X^3 + 3115X^4 + 8343X^5 + 17207X^6 + 27918X^7 + 36080X^8 + 37345X^9 + 30943X^10 + 20395X^11 + 10557X^12 + 4200X^13 + 1240X^14 + 256X^15 + 33X^16 + 2X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 6 12 ],12
10,11,4,3,3,1 + 20*X + 167X^2 + 763X^3 + 2089X^4 + 3527X^5 + 3650X^6 + 2233X^7 + 755X^8 + 133X^9 + 15X^10 + X^11,[ 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 ],3
