Vertices,Alpha(g),Number Of Roots,Number Of Max Points,Number Of Min Points,Polynomial,Degree Array,Max Deg
10,17,3,1,2,1 + 20*X + 171X^2 + 888X^3 + 3192X^4 + 8442X^5 + 16998X^6 + 26631X^7 + 32923X^8 + 32362X^9 + 25333X^10 + 15720X^11 + 7642X^12 + 2849X^13 + 786X^14 + 151X^15 + 18X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 4 13 ],13
10,11,3,2,2,1 + 20*X + 165X^2 + 753X^3 + 2113X^4 + 3816X^5 + 4501X^6 + 3438X^7 + 1646X^8 + 463X^9 + 68X^10 + 4X^11,[ 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 ],3
10,17,2,1,1,1 + 20*X + 171X^2 + 859X^3 + 2937X^4 + 7380X^5 + 14237X^6 + 21640X^7 + 26294X^8 + 25695X^9 + 20184X^10 + 12664X^11 + 6266X^12 + 2393X^13 + 681X^14 + 136X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 4 7 8 ],8
10,17,4,2,2,1 + 20*X + 170X^2 + 863X^3 + 3041X^4 + 7933X^5 + 15882X^6 + 24937X^7 + 31082X^8 + 30911X^9 + 24508X^10 + 15390X^11 + 7554X^12 + 2835X^13 + 785X^14 + 151X^15 + 18X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 6 11 ],11
10,12,2,2,4,1 + 20*X + 169X^2 + 795X^3 + 2315X^4 + 4395X^5 + 5593X^6 + 4847X^7 + 2885X^8 + 1176X^9 + 318X^10 + 52X^11 + 4X^12,[ 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 3 3 4 ],4
10,15,1,1,1,1 + 20*X + 170X^2 + 826X^3 + 2623X^4 + 5891X^5 + 9842X^6 + 12523X^7 + 12257X^8 + 9220X^9 + 5277X^10 + 2252X^11 + 692X^12 + 144X^13 + 18X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 6 6 ],6
10,14,2,1,2,1 + 20*X + 168X^2 + 785X^3 + 2285X^4 + 4429X^5 + 6010X^6 + 5996X^7 + 4550X^8 + 2663X^9 + 1194X^10 + 399X^11 + 94X^12 + 14X^13 + X^14,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 4 ],4
10,13,5,3,2,1 + 20*X + 168X^2 + 794X^3 + 2373X^4 + 4766X^5 + 6655X^6 + 6572X^7 + 4606X^8 + 2267X^9 + 761X^10 + 164X^11 + 20X^12 + X^13,[ 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 5 ],5
10,15,3,2,2,1 + 20*X + 168X^2 + 803X^3 + 2487X^4 + 5383X^5 + 8554X^6 + 10294X^7 + 9537X^8 + 6836X^9 + 3775X^10 + 1585X^11 + 493X^12 + 108X^13 + 15X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 4 6 ],6
10,16,0,2,3,1 + 20*X + 171X^2 + 840X^3 + 2718X^4 + 6303X^5 + 11029X^6 + 14969X^7 + 15991X^8 + 13525X^9 + 9045X^10 + 4741X^11 + 1912X^12 + 574X^13 + 121X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 4 5 7 ],7
